,,,,,,,,,,,
,9,-,API Gateway・Lambda関数のIaC化とCICDパイプラインの作成,"■TODO
方針整理
事前確認
対象リソースの決定
　・リソース一覧を作成　
　・各リソースの関連リソースを追記
　・アプリチームと認識合わせ
 　　- IaC化対象について
 　　- リソース間の関連ついて
各切り替え作業の担当者を決める（インフラ or  アプリ）
事前検証
　・Lambda関数のソースコードのみを変更した場合、実機に反映されるか
　・APIGatewayの設定変更後、自動で対象ステージへデプロイされるか
　・APIGatewayでデプロイ履歴は残す方法あるか
　・Cfn内でのソースコードの参照方法
IaC化
　・Lambda関数
　・APIGateway
　・IAM権限周り
　・CICID関連
 　　- CodePipeline
 　　- CodeBuild
運用ドキュメント作成
　・アプリチーム用
　・インフラ用
確認項目作成
リリース手順書作成
DEVリリース
テスト運用
STGリリース
PRDリリース",,,未,-,42,,-
,10,-,監視対象・監視項目一覧作成,"■TODO
・監視対象・監視項目一覧作成",,,未,-,,,-
,11,-,設計書の最新化,"■TODO
・設計書の最新化: 10 day （17ファイル）
・ レビュー・修正：3 day",,,未,-,13,,-
,12,MCP,GCP監視通知の検証,"■TODO
・AWS/GCPやることの整理
・GCP側をスレッド[1]で依頼 
・AWS側を実施
・検証",,石崎,未,,,,-
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,-,"週例報告用（その他作業）
",,,,,,,,
,93,-,"週例報告用（来週の作業）
","■本番リリース
・不要NatGateway削除　7/24(木）13:30~

■項番29 'K8sマイナーバージョンアップ ＆ Vantiqバージョンアップ
※APチームの動作確認項目 ※完成予定週：7/22週頃
・日程調整
　 - 7/31, 8/1午後は避ける（川村さん会議）
　 - 上記日程以外でアプリチームへ相談して実施
・DEVリリース

■項番23 WAF追加導入検討（APIGateway）
・APチームへの確認

■コスト削減
IaC管理外　※スクリプト or コンソール経由で削除
　・スクリプト作成　※前回使用したものを活用
　・手順書作成
　・DEV削除
　・手順書修正
　・STG削除


",,,,,,,
,94,-,週例報告用（報告・相談）,"・今後のタスクの優先度
　 - API基盤のCloudFormationを既存Cfnに組み込む (項番：31) ：優先度１
　 - API Gateway・Lambda関数のIaC化とCICDパイプラインの作成 (項番：41) ：優先度2

・GCP監視通知の件
   - 要検証ですが、AWSと連携して実現する案はあります
      下記スレッドで相談しながら検証を進める（https://teams.microsoft.com/l/message/19:f4c783fb087c419d98be8431f1045fbc@thread.tacv2/1753248312236?tenantId=1fcf450d-bb71-4efd-ae5d-90c7be757e12&groupId=2f8d9056-eb30-4f9a-8a0c-4d5dd85fc2a5&parentMessageId=1753248312236&teamName=%E6%B8%85%E6%B0%B4%E5%BB%BA%E8%A8%ADMCP%E6%94%AF%E6%8F%B4%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%EF%BC%88%E7%A4%BE%E5%A4%96%EF%BC%89&channelName=MCP%E5%A4%96%E9%83%A8%EF%BD%9C%E3%82%A4%E3%83%B3%E3%83%95%E3%83%A9%E5%9F%BA%E7%9B%A4%EF%BC%88AWS%E3%83%BBGCP%EF%BC%89&createdTime=1753248312236）
　 - GCPで完結させない背景を知りたいです

・7/28（月）休暇をいただきます",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
